Region,Sex,Q1A1,Q1A2,Q2A1,Q2A2
E,F,,B,あの、すいません。シャッター押してもらってもよろしいですか？すいません。,B
E,F,,C,すみません。写真の方お願いできますか？,B
E,F,すいません、写真を撮ってもらえませんか？,A,すいません。写真を撮ってもらえますか？,A
E,F,すみません、写真を撮ってくれませんか？,NA,すみません。写真を撮ってもらいたいのですがよろしいでしょうか？,NA
E,F,すいません、写真撮ってもらえますか？,C,すいません。写真撮ってもらえますか？,C
E,F,,B,,A
E,M,すいません、写真を撮って頂けませんか？,C,すみません。写真を撮って頂けませんか？,A
W,F,すいません、写真を撮ってもらえますか？,C,すいません。写真を撮ってもらえますか？,B
W,F,すいません、シャッター押してもらってもいいですか？,D,すいません。写真を撮ってもらってもいいですか？,B
E,F,すいません、写真撮ってもらってもいいですか？,B,,A
E,F,あの・・・、友達と写真を撮りたいのですが、いいですか？,NA,,C
E,F,すみません、写真を撮ってもらっていいですか？,C,すみません。写真撮ってもらってもいいですか？,C
W,F,,D,すみませんが、写真をお願いしてもよろしいですか？,A
E,F,すみません、写真撮ってもらってもいいですか？,C,すみません。写真を撮りたいんですが、お願いできますか？,C
E,F,,C,すみません。写真をお願いしたいんですけど、いいですか？,NA
E,F,,A,すみません。写真撮ってもらえますか？,A
E,F,,B,すみません。写真撮って欲しいんですけどお願いしてもいいですか？,B
E,F,すみません、写真撮ってもらってもいいですか？,C,すみません。写真を撮って頂きたいのですがよろしいですか？,C
E,F,,C,恐れ入ります。シャッターを押して頂けませんでしょうか？,NA
E,F,写真撮ってもらえませんかぁ？,D,すいません。写真を撮ってもらえないですか？,B
E,F,,B,,B
W,F,すみません、写真を撮って頂けますか？,D,写真を撮って頂けますか？お願いします。,B
E,F,すみません、写真を撮って頂きたいのですが。,A,すみませんが、写真を撮って頂けませんか？,A
E,F,すいません、写真お願いしていいです？,D,すいません。写真を撮って頂きたいのですが。,C
E,F,すみません、写真を撮って頂いてもいいですか？,C,すみません。写真を撮って頂いてもよろしいですか？,C
W,F,すいませんが、写真を撮って頂けますか？,C,申し訳ないのですが写真を撮って頂けないでしょうか？,C
E,F,すみません、シャッターを押して頂いてもいいですか？,D,すみません。シャッターを押して頂いてもいいですか？,C
E,F,すみません、シャッターを押してもらえますか？,C,すみませんが、シャッターを押してもらえませんか？,C
E,F,少し、いいですか？写真を撮りたいのですが（シャッターを）押して頂けますか？,NA,こんにちは。すみませんが写真を撮りたいのでシャッターを押して頂けますか？,NA
E,F,ごめんなさい、写真を撮って頂きたいのですが、いいですか？,B,,A
E,F,,A,,A
E,F,すいません、ちょっと写真撮ってもらっていいですか？,D,,A
E,F,すみません、全員で写りたいのでシャッターをお願いできますか？,NA,すみません。こんにちは。？カメラのシャッターをお願いできますか私達二人で写りたいんです。お願いします。,NA
E,F,,B,あの、写真撮って頂いてもよろしいですか？,C
E,F,,C,すみません。シャッターを押して頂けますか？,B
E,F,,D,申し訳ありませんが、シャッターを押して頂けませんか？,C
E,F,シャッター押してもらってもいいですか？押してもらえませんか？,D,シャッター押してもらってもいいですか？押してもらえませんか？,C
W,M,すみません、写真撮ってもらっても構わないですか？,B,すみません。写真撮ってもらっても構わないですか？,A
W,M,,D,すいません。写真撮ってもらってもいいですか？,NA
W,M,すいません、写真撮ってもらっていいですか？,D,すみません。写真撮ってもらってもいいですか？,C
W,M,すいません、シャッターを押してもらってもいいですか？,NA,すいません。カメラ撮って頂いてよろしいですか？,NA
W,M,カメラ撮ってもらっていい？,NA,撮ってもらっていいですか？,NA
W,F,,C,写真を撮ってもらえませんか？,C
W,M,ちょっと写真撮ってもらえる？,NA,すいません。写真撮ってもらえますか？,NA
W,F,すいません、カメラのシャッター押して下さい。,E,すみません。写真を撮って頂けませんか？,C
W,M,すんません、撮ってもらえません？,NA,すんません。写真撮ってもらっていいですか？,NA
W,M,,C,,C
W,M,写真撮ってもらってもいいかな？,D,すみません。皆で写真撮りたいんですけどシャッター押して頂いていいですか？,D
W,M,写真お願いしていい？,E,すいません。写真をお願いしたいんですけどよろしいでしょうか？,C
W,F,すみません、シャッター押してもらってもいいですか？,NA,すみません。シャッター押して頂いてもよろしいですか？,NA
W,F,すいません、写真撮ってもらってもいいですか？,D,すいません。写真撮ってもらっていいですか？,D
W,F,,B,すみません。よろしかったら写真を撮ってもらってもいいですか？,C
W,F,すいません、ちょっといいですか？シャッター押してもらって、いけますか？,C,すいません。写真を撮ってもらってもいいですか？ここ押してもらったらいいんですけど。,C
W,F,すみません、シャッター押してもらえませんか？,C,すみません。シャッター押してもらえませんか？,C
W,F,すいません、写真撮ってもらえませんか？,C,すいません。写真撮ってもらえませんか？,C
W,F,,B,すいませんが、写真を撮ってもらってもいいですか？,NA
W,M,すみません、できたらシャッター押してくれませんか？,C,すみません。良ければシャッターを押して頂けませんか？,B
W,F,すいません、ちょっと一枚写真撮ってもらってもいいかね？,NA,すいません。ちょっと一枚写真を撮ってもらってもいいですか？,NA
W,M,すいません、写真撮ってもらえませんか？,B,すいません。写真撮ってもらえませんか？,B
W,F,,A,すみません。写真をお願いできませんか？,A
W,F,ちょっといいですか？写真を撮ってもらいたいんだけど、いいでしょうか？,C,ちょっとすみません。写真を撮って頂きたいんですが、シャッターを押してもらってもいいですか？,C
W,F,写真撮ってもらっていい？,C,すみませんが、写真撮ってもらえませんか？,C
W,F,すいません、写真撮ってもらっていいですか？,C,すみません。写真を撮ってもらっていいですか？,B
W,M,すみませんが、カメラ撮ってもらえませんか？,NA,すみませんが、カメラ撮ってもらえませんか？,D
W,F,すいません、シャッター押してもらってもいいですか？,C,すいません。シャッター押してもらってもいいですか？,B
W,F,あ、すいません、写真撮ってもらってもいいですか？,D,あ、すみません。シャッター押して頂けませんか？,B
W,F,,B,,B
W,F,ごめんなさい、シャッター押してもらっていいですか？,C,すいません。シャッターをお願いしてもよろしいですか？,C
W,F,写真撮ってもらっていいですか？,D,写真を撮ってもらってもいいですか？,C
W,F,ちょっと写真撮ってもらえますか？,NA,ちょっと写真撮ってもらえますか？,NA
W,F,すいません、写真撮ってもらえませんか？,C,すみませんが、写真を撮って頂けませんか？,D
W,F,ちょっと写真撮ってもらえませんか？,C,すみません。写真を撮って頂けませんか？,B
W,M,,B,すみませんが、写真を撮って下さい。,NA
W,F,すみません、ごめんやねんけど、写真撮ってもらえへん？,B,すみませんが、写真を撮って頂けないでしょうか？,A
W,F,すいません、写真撮ってもらってもいいですか？,B,すみません。申し訳ないんですが写真撮ってもらっていいですか？,B
W,M,,B,すいません。ちょっとお時間よろしいですか？写真を一枚お願いしたいんですけど。,B
W,M,写真撮ってもらえます？,B,写真撮ってもらえます？,B
W,M,すいません、写真撮ってもらえますか？,D,すいません。写真を撮ってもらえませんか？,B
W,M,すみません、写真撮ってもらえます？,NA,すみません。写真撮ってもらえますか？,NA
W,M,写真撮ってもらっていい？,NA,,E
W,F,写真撮ってもらってもいいですか？,C,写真撮ってもらえますか？,B
W,M,すみません、シャッター押して頂けないでしょうか？,A,すみません。写真撮って頂けないでしょうか？,A
W,M,すみません、シャッターをお願いしてもいいですか？,NA,すみませんが、カメラのシャッターをお願いできますか？,NA
W,M,すいません、写真撮ってもらえますか？,C,すいません。写真撮るのお願いしてもいいですか？,C
W,M,すみません、このカメラで私達を撮って頂けませんか？,NA,すみません。このカメラで私達を撮って頂けませんか？,NA
W,F,すみません、写真撮ってもらっていいですか？,B,すみません。写真撮ってもらっていいですか？,B
W,F,すみません、写真撮ってもらってもいいですか？,NA,すみません。写真を撮ってもらってもいいですか？,NA
W,F,,B,すいません。写真撮ってもらえますか？,D
W,M,,A,すみません。写真撮って頂けないですか？,C
W,M,,E,,A
W,F,すみません、シャッター押してもらえませんか？,NA,すみません。写真を撮って頂いてよろしいですか？,NA
W,F,すいません、シャッター押してもらってもいいですか？,B,すいませんが、シャッター押してもらってもよろしいでしょうか？,A
W,M,すんません、写真撮ってもらっていいですか？,D,すみません。写真を撮って頂いてもよろしいでしょうか？,C
W,M,,B,写真を撮って頂けませんか？,B
W,M,あの、すみませんが、写真のシャッターを押してもらえませんか？,NA,あの、すみません。カメラのシャッターを押して頂けませんか？,NA
W,F,すいません、シャッター押してもらってもいいですか？,C,すいません。シャッター押してもらってもいいですか？,C
W,M,,A,すいません。カメラ撮って頂けませんか？,D
W,M,ちょっとすいません、写真撮ってもらってもいいですか？,C,すみませんが、写真を撮って頂けないでしょうか？,B
W,F,すみません、写真撮って頂けますか？,C,,A
W,F,あの、ちょっと写真撮ってもらってもいいかな？,NA,すみません。ちょっと写真撮ってもらってもいいですか？,NA
W,F,すいません、写真を撮ってもらっていいですか？,C,すいません。写真を撮ってもらってもいいですか？ここ押してもらったらいいんですけど。,C
W,M,すみません、写真を撮って欲しいのですがシャッターお願いできますか？,C,,B
W,F,ちょっとごめんね、写真撮ってもらっていいですか？,C,ちょっとすみません。写真撮ってもらっていいですか？,C
W,F,悪いんやけどシャッター押してくれへん？,C,シャッター押して頂けませんか？,B
W,F,すいません、写真撮ってもらえますか？,B,すいません。写真撮ってもらっていいですか？,B
E,F,すいません、ねぇねぇ、ちょっと写真撮ってもらえますか？,D,すいません。写真撮ってもらえますか？,C
E,F,ごめんなさい、カメラを撮ってもらえませんか？,C,すいません。写真を撮ってもらえませんか？,A
E,F,すみません、シャッター押してもらえますか？,C,すみません。シャッター押して頂けませんか？,B
E,F,すいません、誰でも良いので写真撮ってもらえますか？,C,すいません。写真を撮ってもらえますか？,C
E,F,,B,すみません。シャッターを押して下さい。,C
E,F,シャッターを押してもらえますか？,C,シャッター押してもらえますか？,C
E,F,,C,,C
E,F,すいません、写真いいですか？,NA,すみません。写真撮って欲しいんですが、いいですか？,NA
E,F,すみません、写真撮ってもらえますか？,C,すみません。写真撮ってもらえますか？,C
E,F,すみません、写真撮って頂けますか？,D,すみません。この近くに郵便局はありますか？,D
E,F,すみません、写真撮ってもらってもいいですか？,B,すみません。写真撮ってもらえませんか？,B
E,F,すみません、写真を撮ってもらってもよいですか？,C,すみません。写真を撮ってもらっても良いでしょうか？,B
E,F,すいません、シャッター押してもらえます？,D,すいません。カメラのシャッター押して頂けますか？,C
E,F,すいません、シャッター押してもらえますか？,B,すみません。写真撮ってもらってもいいですか？,A
E,F,すみません、写真撮ってもらえますか？,B,すみません。写真撮ってもらってもいいですか？,A
E,F,すみませんが、写真を撮って頂けますか？,NA,,B
E,F,,B,写真を撮って頂けますか？,C
E,F,写真撮ってもらえませんか？,NA,写真撮ってもらえませんか？,NA
E,F,すみません、写真撮ってもらえませんか？,B,すみません。写真を撮ってもらえないでしょうか？,B
E,F,すみません、シャッター押してもらっていいですか？,D,すみません。シャッター押してもらっていいですか？,D
E,F,,B,,B
E,F,,B,,A
E,F,写真撮ってもらってもいいかなぁ？,D,すみません。シャッター押してもらっていいですか？,D
E,F,すみません、写真撮ってもらっていいですか？,B,すみません。記念写真を撮りたいのですが、カメラをお願いできますか？,C
E,F,すみません、写真を撮りたいので撮ってもらえませんか？,C,申し訳ありませんが写真を撮って頂けませんか？,C
E,F,すみません、写真を撮って頂けますか？,B,すみません。写真を撮って頂けますか？,C
E,F,すみません、ちょっとシャッター押してもらっていいですか？,B,すみません。友人と写真を撮りたいのでシャッターを押して欲しいのですが。,A
E,F,,A,,A
E,F,,C,すいません。写真を撮りたいのでシャッター押して頂けませんか？,B
E,F,すみません、写真を撮りたいのでシャッターを押してもらってもいいですか？,D,,B
E,F,,C,すみませんが、写真を撮りたいのでシャッターをお願いできますか？,C
E,F,すみません、写真撮ってもらっていいですか？,C,すみませんが、写真を撮ってもらえませんか？,B
E,F,,C,すみません。写真撮ってもらっていいですか？,NA
E,F,すみません、写真を撮りたいんですけどシャッターを押してもらってもいいですか？,C,,B
E,F,すいません、写真撮ってもらえますか？,NA,,B
E,F,,B,すいません。写真を撮って頂きたいのですがシャッターを押してもらってもよろしいですか？,NA
E,F,,D,すみません。写真を撮ってもらいたいのですが、いいですか？,B
E,F,,B,,C
E,F,,C,ここで写真を一枚撮ってもらいたいのですが、お願いしてもいいですか？,D
E,F,,E,写真を撮ってもらいたいんですが、いいですか？,B
E,F,あの、すみません、写真撮ってもらえませんか？,D,あの、すみませんが、写真撮って頂けませんか？,D
E,F,申し訳ありません、カメラのシャッターを押して頂けますか？,B,,NA
E,F,すみません、友人と二人で写真を撮りたいのですが撮ってもらってもいいですか？,C,すみません。友人と二人で写真を撮りたいのですが、このカメラで撮ってもらってもいいですか？,B
E,F,すみません、シャッター押してもらえますか？,NA,,B
E,F,すいません、写真頼んでもいいですか？,C,すいません。写真を撮ってもらいたいんですが、よろしいですか？,C
E,F,あの、すみません、写真撮ってもらいたいんですけど撮ってもらえませんか？,C,あの、すみません。写真撮ってもらいたいんですが、撮ってもらえないでしょうか？,B
E,F,すみません、写真撮ってもらっていいですか？,NA,申し訳ありません。ここで写真を撮ってもらってもよろしいでしょうか？,NA
